Points with non-zero HEIDI values:
Point 185 -> Point 233, HEIDI Value: 3.0000
Point 186 -> Point 67, HEIDI Value: 3.0000
Point 186 -> Point 167, HEIDI Value: 3.0000
Point 186 -> Point 186, HEIDI Value: 3.0000
Point 187 -> Point 121, HEIDI Value: 3.0000
Point 187 -> Point 168, HEIDI Value: 3.0000
Point 187 -> Point 187, HEIDI Value: 3.0000
Point 188 -> Point 56, HEIDI Value: 3.0000
Point 188 -> Point 109, HEIDI Value: 3.0000
Point 188 -> Point 184, HEIDI Value: 3.0000
Point 188 -> Point 188, HEIDI Value: 3.0000
Point 188 -> Point 289, HEIDI Value: 3.0000
Point 189 -> Point 189, HEIDI Value: 3.0000
Point 190 -> Point 43, HEIDI Value: 3.0000
Point 190 -> Point 190, HEIDI Value: 3.0000
Point 190 -> Point 208, HEIDI Value: 3.0000
Point 191 -> Point 2, HEIDI Value: 3.0000
Point 191 -> Point 191, HEIDI Value: 3.0000
Point 191 -> Point 288, HEIDI Value: 3.0000
Point 191 -> Point 293, HEIDI Value: 3.0000
Point 192 -> Point 10, HEIDI Value: 3.0000
Point 192 -> Point 192, HEIDI Value: 3.0000
Point 192 -> Point 279, HEIDI Value: 3.0000
Point 193 -> Point 0, HEIDI Value: 3.0000
Point 193 -> Point 193, HEIDI Value: 3.0000
Point 193 -> Point 241, HEIDI Value: 3.0000
Point 194 -> Point 194, HEIDI Value: 3.0000
Point 194 -> Point 262, HEIDI Value: 3.0000
Point 194 -> Point 269, HEIDI Value: 3.0000
Point 195 -> Point 195, HEIDI Value: 3.0000
Point 196 -> Point 27, HEIDI Value: 3.0000
Point 196 -> Point 54, HEIDI Value: 3.0000
Point 196 -> Point 196, HEIDI Value: 3.0000
Point 197 -> Point 1, HEIDI Value: 3.0000
Point 197 -> Point 182, HEIDI Value: 3.0000
Point 197 -> Point 197, HEIDI Value: 3.0000
Point 198 -> Point 198, HEIDI Value: 3.0000
Point 199 -> Point 12, HEIDI Value: 3.0000
Point 199 -> Point 199, HEIDI Value: 3.0000
Point 199 -> Point 247, HEIDI Value: 3.0000
Point 200 -> Point 200, HEIDI Value: 3.0000
Point 201 -> Point 201, HEIDI Value: 3.0000
Point 202 -> Point 202, HEIDI Value: 3.0000
Point 203 -> Point 0, HEIDI Value: 3.0000
Point 203 -> Point 203, HEIDI Value: 3.0000
Point 203 -> Point 258, HEIDI Value: 3.0000
Point 204 -> Point 80, HEIDI Value: 3.0000
Point 204 -> Point 204, HEIDI Value: 3.0000
Point 204 -> Point 242, HEIDI Value: 3.0000
Point 205 -> Point 144, HEIDI Value: 3.0000
Point 205 -> Point 171, HEIDI Value: 3.0000
Point 205 -> Point 205, HEIDI Value: 3.0000
Point 206 -> Point 42, HEIDI Value: 3.0000
Point 206 -> Point 166, HEIDI Value: 3.0000
Point 206 -> Point 206, HEIDI Value: 3.0000
Point 207 -> Point 207, HEIDI Value: 3.0000
Point 208 -> Point 208, HEIDI Value: 3.0000
Point 209 -> Point 130, HEIDI Value: 3.0000
Point 209 -> Point 176, HEIDI Value: 3.0000
Point 209 -> Point 209, HEIDI Value: 3.0000
Point 209 -> Point 252, HEIDI Value: 3.0000
Point 209 -> Point 267, HEIDI Value: 3.0000
Point 210 -> Point 71, HEIDI Value: 3.0000
Point 210 -> Point 74, HEIDI Value: 3.0000
Point 210 -> Point 146, HEIDI Value: 3.0000
Point 210 -> Point 210, HEIDI Value: 3.0000
Point 210 -> Point 287, HEIDI Value: 3.0000
Point 211 -> Point 16, HEIDI Value: 3.0000
Point 211 -> Point 211, HEIDI Value: 3.0000
Point 211 -> Point 232, HEIDI Value: 3.0000
Point 212 -> Point 212, HEIDI Value: 3.0000
Point 213 -> Point 213, HEIDI Value: 3.0000
Point 214 -> Point 104, HEIDI Value: 3.0000
Point 214 -> Point 214, HEIDI Value: 3.0000
Point 214 -> Point 238, HEIDI Value: 3.0000
